,user_id,num_movies_rated,avg_rating,rating_std,high_rated_movies,low_rated_movies,avg_sentiment,avg_review_length
22706,ur2311444,2.0,10.0,0.0,2.0,0.0,0.1893939393939394,124.5
22707,ur23115683,1.0,7.0,0.0,0.0,0.0,0.3909090909090908,79.0
22708,ur23117400,2.0,5.5,0.7071067811865476,0.0,0.0,0.02417552933177932,385.5
22709,ur23117517,1.0,10.0,0.0,1.0,0.0,0.16250000000000003,60.0
22710,ur2311900,1.0,10.0,0.0,1.0,0.0,0.020990990990990995,330.0
22711,ur23124348,2.0,7.0,0.0,0.0,0.0,0.24953664799253034,123.0
22712,ur23127480,2.0,5.0,4.242640687119285,1.0,1.0,0.09449481074481073,164.0
22713,ur2312759,1.0,7.0,0.0,0.0,0.0,0.15071428571428572,114.0
22714,ur23127884,1.0,2.0,0.0,0.0,1.0,0.02172619047619048,302.0
22715,ur23127957,1.0,10.0,0.0,1.0,0.0,0.2872510822510823,326.0
22716,ur2312824,2.0,6.0,2.8284271247461903,1.0,1.0,0.10805288461538462,156.0
22717,ur23129480,1.0,5.0,0.0,0.0,0.0,0.2650793650793651,170.0
22718,ur2313093,1.0,7.0,0.0,0.0,0.0,0.21888254907485674,882.0
22719,ur23131424,2.0,6.5,0.7071067811865476,0.0,0.0,0.18523755656108598,194.5
22720,ur23131466,1.0,8.0,0.0,1.0,0.0,0.1605468430940129,427.0
22721,ur2313349,1.0,3.0,0.0,0.0,1.0,0.12118055555555553,442.0
22722,ur23136401,1.0,6.0,0.0,0.0,0.0,0.340625,44.0
22723,ur2313801,1.0,7.0,0.0,0.0,0.0,0.011656746031746037,145.0
22724,ur23138296,1.0,8.0,0.0,1.0,0.0,0.23321428571428576,262.0
22725,ur23138767,3.0,8.333333333333334,2.0816659994661326,2.0,0.0,0.23914564490937487,178.0
22726,ur23139421,1.0,6.0,0.0,0.0,0.0,0.20264550264550263,141.0
22727,ur23140648,1.0,8.0,0.0,1.0,0.0,0.09505747126436782,257.0
22728,ur2314174,60.0,6.366666666666666,1.803637254170796,17.0,10.0,0.15571278473804948,224.73333333333332
22729,ur2314364,3.0,5.666666666666667,4.041451884327381,2.0,1.0,0.058667628667628674,138.66666666666666
22730,ur2314441,1.0,4.0,0.0,0.0,1.0,-0.06931818181818183,142.0
22731,ur23149750,1.0,8.0,0.0,1.0,0.0,0.10224358974358977,124.0
22732,ur23150640,1.0,5.0,0.0,0.0,0.0,-0.019791666666666662,166.0
22733,ur2315197,1.0,2.0,0.0,0.0,1.0,0.059341931216931244,395.0
22734,ur23153309,1.0,1.0,0.0,0.0,1.0,-0.03738425925925921,281.0
22735,ur23153986,2.0,8.0,0.0,2.0,0.0,0.18204134014134013,489.5
22736,ur23156346,4.0,6.25,3.8622100754188224,2.0,1.0,0.2241387991784817,313.75
22737,ur23156896,1.0,6.0,0.0,0.0,0.0,0.034999999999999996,56.0
22738,ur23158028,1.0,8.0,0.0,1.0,0.0,0.2111111111111111,118.0
22739,ur23161950,1.0,10.0,0.0,1.0,0.0,0.10953085542929292,569.0
